S.NO,Rank,Gender,Category,Branch,College
1,104870,M,OC,AIML,SRIN
2,105431,F,OC,AIML,SRIN
3,131643,M,BC_B,AIML,SRIN
4,149596,M,BC_D,AIML,SRIN
5,10607,F,OC,AIML,SRIN
6,92510,F,OC,AIML,SRIN
7,94548,F,BC_B,AIML,SRIN
8,135569,M,BC_B,AIML,SRIN
9,96536,F,OC,AIML,SRIN
10,134074,F,BC_B,AIML,SRIN
11,108176,M,OC,AIML,SRIN
12,69570,F,BC_B,AIML,SRIN
13,106849,M,OC,AIML,SRIN
14,92759,F,OC,AIML,SRIN
15,133374,F,BC_B,AIML,SRIN
16,95689,F,OC,AIML,SRIN
17,121013,M,BC_D,AIML,SRIN
18,101652,F,OC,AIML,SRIN
19,131158,M,BC_B,AIML,SRIN
20,140838,F,BC_B,AIML,SRIN
21,100543,M,OC,AIML,SRIN
22,148187,M,BC_A,AIML,SRIN
23,129975,F,BC_A,AIML,SRIN
24,103993,M,OC,AIML,SRIN
25,80695,M,OC,AIML,SRIN
26,95467,F,OC,AIML,SRIN
27,134052,M,BC_B,AIML,SRIN
28,107811,F,OC,AIML,SRIN
29,114459,F,BC_B,AIML,SRIN
30,101309,F,BC_B,AIML,SRIN
31,96301,F,OC,AIML,SRIN
32,89101,F,OC,AIML,SRIN
33,101046,M,SC,AIML,SRIN
34,89546,M,BC_B,AIML,SRIN
35,94375,F,OC,AIML,SRIN
36,88013,M,OC,AIML,SRIN
37,146652,M,BC_A,AIML,SRIN
38,84240,F,OC,AIML,SRIN
39,136666,F,SC,AIML,SRIN
40,106509,F,OC,AIML,SRIN
41,77264,M,OC,AIML,SRIN
42,57389,F,OC,AIML,SRIN
43,82641.1,M,OC,AIML,SRIN
44,128200,M,BC_D,AIML,SRIN
45,129749,F,BC_B,AIML,SRIN
46,127179,M,BC_B,AIML,SRIN
47,108614,M,BC_B,AIML,SRIN
48,110357,M,BC_B,AIML,SRIN
49,148593,M,BC_A,AIML,SRIN
50,98587,F,OC,AIML,SRIN
51,100849,M,OC,AIML,SRIN
52,88740,F,OC,AIML,SRIN
53,81362,M,OC,AIML,SRIN
54,87607,M,OC,AIML,SRIN
55,90974,F,OC,AIML,SRIN
56,126036,M,BC_B,AIML,SRIN
57,79772,F,OC,AIML,SRIN
58,81643,F,OC,AIML,SRIN
59,96036,M,OC,AIML,SRIN
60,30120,F,OC,AIML,SRIN
61,121234,M,BC_B,AIML,SRIN
62,50910,F,BC_B,AIML,SRIN
63,123643,F,SC,AIML,SRIN
64,102971,F,OC,AIML,SRIN
65,72491,F,OC,AIML,SRIN
66,100543,M,OC,AIML,SRIN
67,136292,F,SC,AIML,SRIN
68,101608,F,OC,AIML,SRIN
69,95587,M,OC,AIML,SRIN
70,150809,M,SC,AIML,SRIN
71,47168,F,OC,AIML,SRIN
72,63711,F,SC,AIML,SRIN
73,133134,M,BC_A,AIML,SRIN
74,86626,F,OC,AIML,SRIN
75,117922,M,BC_B,AIML,SRIN
76,81887,F,OC,AIML,SRIN
77,19296,M,BC_D,AIML,SRIN
78,110748,M,BC_D,AIML,SRIN
79,106423,F,OC,AIML,SRIN
80,106517,F,OC,AIML,SRIN
81,141912,F,BC_B,AIML,SRIN
82,127190,M,BC_B,AIML,SRIN
83,100669,M,OC,AIML,SRIN
84,147985,F,BC_B,AIML,SRIN
85,103099,F,OC,AIML,SRIN
86,111383,M,BC_B,AIML,SRIN
87,98603,F,SC,AIML,SRIN
88,133317,F,BC_B,AIML,SRIN
89,81892,F,OC,AIML,SRIN
90,112364,M,BC_B,AIML,SRIN
91,105182,F,BC_B,AIML,SRIN
92,82687,M,OC,AIML,SRIN
93,139975,F,SC,AIML,SRIN
94,131839,F,BC_D,AIML,SRIN
95,134838,M,BC_B,AIML,SRIN
96,80751,F,OC,AIML,SRIN
97,141661,F,OC,CE,SRIN
98,138422,F,OC,CE,SRIN
99,130325,F,BC_B,CE,SRIN
100,119950,F,OC,CE,SRIN
101,137832,M,OC,CE,SRIN
